Relatório de Memória de Massa;;;;;;
Descrição: UNIVERSIDADE FEDERAL TRIANG MINEIRO UFTM;;;;;;
Ponto de Medição: 3011467333;;Data de Emissão: 31/10/2018 - 14:23;;;;
Medidor: 22101013;;Data da Leitura: 31/10/2018 - 13:45;;;;
Data Inicial: 01/09/2018 - 00:00;;Data Final: 31/10/2018 - 23:00;;;;
Id;Data do registro;kW;kVARInd;kVARCap;Fator de Potência: ;Posto horário: 
7962;22/01/2019 - 22:15;144,27;46,19999999;0;0,95235974;Fora Ponta
7961;22/01/2019 - 22:00;146,475;47,87999999;0;0,95050693;Fora Ponta
7960;22/01/2019 - 21:45;143,01;48,08999999;0;0,94784488;Fora Ponta
7959;22/01/2019 - 21:30;143,955;47,14499999;0;0,95033377;Fora Ponta
7958;22/01/2019 - 21:15;145,32;47,985;0;0,94957146;Fora Ponta
7957;22/01/2019 - 21:00;147,525;46,83;0;0,95313047;Fora Ponta
7956;22/01/2019 - 20:45;147,735;47,04;0;0,9528635;Fora Ponta
7955;22/01/2019 - 20:30;147,42;46,515;0;0,95365449;Fora Ponta
7954;22/01/2019 - 20:15;153,09;47,77499999;0;0,9545964;Fora Ponta
7953;22/01/2019 - 20:00;160,755;50,61;0;0,95384594;Ponta
7952;22/01/2019 - 19:45;173,145;54,495;0;0,95387072;Ponta
7951;22/01/2019 - 19:30;172,935;53,655;0;0,95508677;Ponta
7950;22/01/2019 - 19:15;170,1;52,815;0;0,95502384;Ponta
7949;22/01/2019 - 19:00;177,345;53,76;0;0,9569958;Ponta
7948;22/01/2019 - 18:45;175,875;55,02;0;0,95438868;Ponta
7947;22/01/2019 - 18:30;168,945;54,91499999;0;0,95102103;Ponta
7946;22/01/2019 - 18:15;164,43;54,915;0;0,94850143;Ponta
7945;22/01/2019 - 18:00;170,94;56,48999999;0;0,94949665;Ponta
7944;22/01/2019 - 17:45;174,405;57,015;0;0,95049857;Ponta
7943;22/01/2019 - 17:30;174,09;55,96499999;0;0,95201661;Ponta
7942;22/01/2019 - 17:15;182,07;57,33;0;0,95383174;Ponta
7941;22/01/2019 - 17:00;186,48;57,015;0;0,95630139;Fora Ponta
7940;22/01/2019 - 16:45;196,245;57,32999999;0;0,95987911;Fora Ponta
7939;22/01/2019 - 16:30;202,335;58,065;0;0,9612033;Fora Ponta
