Relatório de Memória de Massa;;;;;;
Descrição: UNIVERSIDADE FEDERAL TRIANG MINEIRO UFTM;;;;;;
Ponto de Medição: 3011467333;;Data de Emissão: 28/01/2019 - 08:28;;;;
Medidor: 22101013;;Data da Leitura: 28/01/2019 - 07:30;;;;
Data Inicial: 01/11/2018 - 00:00;;Data Final: 25/01/2019 - 23:00;;;;
Id;Data do registro;kWh;kVARhInd;kVARhCap;Fator de Potência: ;Posto horário: 
5417;26/02/2018 - 10:00;181,545;51,02999999;0;0,96269174;Fora Ponta
5416;26/02/2018 - 09:45;176,715;49,875;0;0,96240369;Fora Ponta
5415;26/02/2018 - 09:30;171,57;49,34999999;0;0,96103415;Fora Ponta
5414;26/02/2018 - 09:15;169,68;48,19499999;0;0,96194958;Fora Ponta
5413;26/02/2018 - 09:00;172,62;50,71499999;0;0,95944909;Fora Ponta
5412;26/02/2018 - 08:45;168,735;50,50499999;0;0,95800658;Fora Ponta
5411;26/02/2018 - 08:30;168;48,92999999;0;0,96010746;Fora Ponta
5410;26/02/2018 - 08:15;168,525;49,34999999;0;0,95969808;Fora Ponta
5409;26/02/2018 - 08:00;164,22;50,60999999;0;0,95564679;Fora Ponta
5408;26/02/2018 - 07:45;164,115;49,245;0;0,95780941;Fora Ponta
5407;26/02/2018 - 07:30;161,91;47,87999999;0;0,95894854;Fora Ponta
5406;26/02/2018 - 07:15;146,16;47,565;0;0,95091351;Fora Ponta
5405;26/02/2018 - 07:00;132,825;43,89;0;0,94950572;Fora Ponta
5404;26/02/2018 - 06:45;115,92;37,58999999;0;0,95123648;Fora Ponta
5403;26/02/2018 - 06:30;103,005;33,075;0;0,9521194;Fora Ponta
5402;26/02/2018 - 06:15;88,30499999;29,085;0;0,94980662;Fora Ponta
5401;26/02/2018 - 06:00;90,50999999;31,08;0;0,94579195;Fora Ponta
5400;26/02/2018 - 05:45;93,975;31,81499999;0;0,94719124;Fora Ponta
5399;26/02/2018 - 05:30;88,2;32,655;0;0,93778915;Fora Ponta
5398;26/02/2018 - 05:15;90,82499999;32,97;0;0,93998364;Fora Ponta
5397;26/02/2018 - 05:00;87,675;30,86999999;0;0,94324032;Fora Ponta
5396;26/02/2018 - 04:45;84,315;29,295;0;0,94460783;Fora Ponta
5395;26/02/2018 - 04:30;83,36999999;28,875;0;0,94492946;Fora Ponta
5394;26/02/2018 - 04:15;81,375;28,665;0;0,94319237;Fora Ponta
5393;26/02/2018 - 04:00;82,11;29,92499999;0;0,93954762;Fora Ponta
